Orig,Name,TotalSeats,Country Name,Airport1Latitude,Airport1Longitude
ADL,Adelaide International,693960.281,Australia,-34.94829941,138.5346985
AVV,Avalon,274434.888,Australia,-38.04079819,144.4680939
BME,Broome International,701.946,Australia,-17.95000076,122.2300034
BNE,Brisbane Intl,4171262.109,Australia,-27.38500023,153.1163025
CBR,Canberra,106496.474,Australia,-35.30889893,149.1950073
CNS,Cairns International,469445.886,Australia,-16.88330078,145.7516937
DRW,Darwin International,228375.098,Australia,-12.41670036,130.8721924
GTE,Groote Eylandt,1646.54,Australia,-13.97220039,136.4532929
LEA,Learmonth,1906.52,Australia,-22.23500061,114.0817032
MCY,Maroochydore,10776.171,Australia,-26.60420036,153.0899963
MEL,Melbourne Airport,7110682.649,Australia,-37.6617012,144.8332977
MNV,Mount Valley,649.95,Australia,-14.11670017,133.8332977
NTL,Williamtown,6863.472,Australia,-32.79579926,151.8332977
OOL,Coolangatta,590895.543,Australia,-28.16670036,153.5083008
PER,Perth International,2702574.427,Australia,-31.93169975,115.9682999
PHE,Port Hedland International,9151.296,Australia,-20.37829971,118.6275024
SYD,Kingsford Smith,10972585.89,Australia,-33.94419861,151.1757965
TSV,Townsville International,12167.064,Australia,-19.25419998,146.7642059
