Rank,Airport,Location,Country,Code,Total Passengers,Rank change,% Change 
,,,,,,,
1, Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,ATL/KATL,"75,537,213",1,76.40%
2, Dallas Fort Worth International Airport,"Dallas-Fort Worth, Texas",United States,DFW/KDFW,"62,465,756",2,58.70%
3, Denver International Airport,"Denver, Colorado",United States,DEN/KDEN,"58,828,552",5,74.40%
4, O'Hare International Airport,"Chicago, Illinois",United States,ORD/KORD,"54,020,399",9,75.10%
5, Los Angeles International Airport,"Los Angeles, California",United States,LAX/KLAX,"48,007,284",10,66.80%
6, Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,CLT/KCLT,"43,302,230",12,59.20%
7, Orlando International Airport,"Orlando, Florida",United States,MCO/KMCO,"40,351,068",20,86.70%
8, Guangzhou Baiyun International Airport,"Baiyun-Huadu, Guangzhou, Guangdong",China,CAN/ZGGG,"40,249,679",7,8.00%
9, Chengdu Shuangliu International Airport,"Shuangliu-Wuhou, Chengdu, Sichuan",China,CTU/ZUUU,"40,117,496",6,1.50%
10, Harry Reid International Airport,"Las Vegas, Nevada",United States,LAS/KLAS,"39,710,493",12,78.60%
11, Phoenix Sky Harbor International Airport,"Phoenix, Arizona",United States,PHX/KPHX,"38,846,713",15,77.20%
12, Miami International Airport,"Miami-Dade County, Florida",United States,MIA/KMIA,"37,302,456",26,99.90%
13, Indira Gandhi International Airport,Delhi,India,DEL/VIDP,"37,139,957",3,30.30%
14, Istanbul Airport,"Arnavutköy, Istanbul",Turkey,IST/LTFM,"36,988,563",6,58.50%
15, Shenzhen Bao'an International Airport,"Bao'an, Shenzhen, Guangdong",China,SZX/ZGSZ,"36,358,185",10,4.10%
16, Seattle–Tacoma International Airport,"SeaTac, Washington",United States,SEA/KSEA,"36,154,015",16,80.40%
17, Mexico City International Airport,"Venustiano Carranza, Mexico City",Mexico,MEX/MMMX,"36,056,614",8,64.00%
18, Chongqing Jiangbei International Airport,"Yubei, Chongqing",China,CKG/ZUCK,"35,766,284",12,2.40%
19, Shanghai Hongqiao International Airport,"Changning-Minhang, Shanghai",China,SHA/ZSSS,"33,207,337",9,6.60%
20, Beijing Capital International Airport,"Chaoyang-Shunyi, Beijing",China,PEK/ZBAA,"32,639,013",13,5.40%
21, Kunming Changshui International Airport,"Guandu, Kunming, Yunnan",China,KMG/ZPPP,"32,221,195",12,2.30%
22, Shanghai Pudong International Airport,"Pudong, Shanghai",China,PVG/ZSPD,"32,206,814",8,5.70%
23, George Bush Intercontinental Airport,"Houston, Texas",United States,IAH/KIAH,"31,866,308",16,75.00%
24, Sheremetyevo International Airport,"Khimki, Moscow Oblast",Russia,SVO/UUEE,"30,943,456",10,56.40%
25, John F. Kennedy International Airport,"Queens, New York, New York",United States,JFK/KJFK,"30,788,322",20,85.10%
26, Xi'an Xianyang International Airport,"Weicheng, Xianyang, Shaanxi",China,XIY/ZLXY,"30,173,312",15,2.90%
27, Dubai International Airport,"Garhoud, Dubai",United Arab Emirates,DXB/OMDB,"29,110,609",8,12.70%
28, Newark Liberty International Airport,"Newark, New Jersey",United States,EWR/KEWR,"29,049,552",26,82.80%
29, Hangzhou Xiaoshan International Airport,"Xiaoshan, Hangzhou, Zhejiang",China,HGH/ZSHC,"28,163,820",12,0.20%
30, Fort Lauderdale–Hollywood International Airport,"Broward County, Florida",United States,FLL/KFLL,"28,076,808",18,70.30%
31, Charles de Gaulle Airport,"Roissy-en-France, Île-de-France",France,CDG/LFPG,"26,201,698",10,17.70%
32, Tokyo Haneda Airport,"Ōta, Tokyo",Japan,HND/RJTT,"25,876,429",20,15.40%
33, Jeju International Airport,"Jeju City, Jeju Province",South Korea,CJU/RKPC,"25,802,550",4,22.60%
34, Amsterdam Airport Schiphol,"Haarlemmermeer, North Holland",Netherlands,AMS/EHAM,"25,500,000",4,22.10%
35, Moscow Domodedovo Airport,"Domodedovo, Moscow Oblast",Russia,DME/UUDD,"25,065,087",17,52.90%
36, Beijing Daxing International Airport,"Daxing District, Beijing",China,PKX/ZBAD,"25,051,012",17,55.70%
37, Istanbul Sabiha Gökçen International Airport,"Pendik, Istanbul",Turkey,SAW/LTFJ,"24,991,916",5,47.20%
38, Frankfurt Airport,"Frankfurt, Hesse",Germany,FRA/EDDF,"24,812,849",1,32.20%
39, Minneapolis/St Paul International Airport,"St. Paul, Minnesota",United States,MSP/KMSP,"24,429,003",18,64.40%
40, San Francisco International Airport,"San Mateo County, California",United States,SFO/KSFO,"24,343,627",10,48.20%
41, São Paulo/Guarulhos International Airport,Guarulhos,Brazil,GRU/SBGR,"24,164,330",10,18.70%
42, Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD/LEMD,"24,121,535",1,41.10%
43, Detroit Metropolitan Airport,"Detroit, Michigan",United States,DTW/KDTW,"23,610,765",9,67.40%
44, Logan International Airport,"East Boston, Massachusetts",United States,BOS/KBOS,"22,695,835",?,79.60%
45, Gimpo International Airport,"Gangseo District, Seoul",South Korea,GMP/RKSS,"22,525,417",5,29.10%
46, Cancún International Airport,Cancún,Mexico,CUN/MMUN,"22,393,906",?,82.10%
47, Salt Lake City International Airport,"Salt Lake City, Utah",United States,SLC/KSLC,"22,383,878",?,78.20%
48, Antalya Airport,Antalya,Turkey,AYT/LTAI,"22,012,298",?,125.80%
49, Changsha Huanghua International Airport,Changsha,China,CSX/ZGHA,"19,983,064",13,4.00%
50, Wuhan Tianhe International Airport,Wuhan,China,WUH/KHHH,"19,796,618",?,54.60%
